Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2010-01-04,43.77754592895508,43.941185026776395,42.702197765671855,43.419097532045335,6186700
2010-01-05,45.211341857910156,45.41394221820966,43.637282386546126,43.83209168291464,8867800
2010-01-06,46.582801818847656,46.74644390036613,45.10225282849052,45.374984676764306,8836500
2010-01-07,48.46855545043945,48.55427201984476,45.99058086469537,46.37240543606838,14379100
2010-01-08,48.001007080078125,48.141270004383045,47.42437325576128,47.954254753679024,7146600
2010-01-11,47.43217849731445,48.38284905231294,47.1516525648523,48.273756294700924,5624900
2010-01-12,47.08930969238281,47.68932276264263,46.68410594470524,46.808783792255696,5273800
2010-01-13,47.65815353393555,48.078942392746455,47.026970245719184,47.22957360998566,4950400
2010-01-14,47.9698371887207,48.01658951252282,47.362030226310324,47.55683950229555,3000400
2010-01-15,47.393218994140625,47.96985598492629,46.91788369887571,47.94647684131084,5067300
2010-01-19,47.2607307434082,47.54125359913555,46.723055248351855,47.22176651082749,5427100
2010-01-20,46.91007995605469,47.19839688725736,45.60875228850304,47.01138162420038,5374100
2010-01-21,46.1308479309082,47.73607483781428,45.897077339592734,46.98800775658304,5401300
2010-01-22,45.01652526855469,46.10745536794778,44.96197891221271,45.67887557988073,4743300
2010-01-25,45.024330139160156,45.78019126963797,44.806144646879716,45.46849516133357,3489900
2010-01-26,44.96977996826172,45.58537809526894,44.59574645341729,44.83731106558008,4552000
2010-01-27,48.25815963745117,48.37504640551276,45.842525526312826,45.850316590325065,14758500
2010-01-28,48.74908447265625,49.052986531046756,47.77503788932551,48.42959731222594,8862500
2010-01-29,47.22178268432617,49.40364966377868,47.00359717540277,48.93610546565831,8725400
2010-02-01,48.07893753051758,48.20361536801349,47.31528540428588,47.33087050554213,5919900
2010-02-02,48.265953063964844,48.31270836798883,47.53347113624708,47.75945064686518,7862300
2010-02-03,48.21887969970703,48.485629239240616,47.740299379410196,48.26595420415927,5480600
2010-02-04,46.53993225097656,47.991361854701225,46.485013487128484,47.818761308113615,7490700
2010-02-05,45.81814956665039,46.86945651539079,44.82960564843621,46.453639092653646,9675700
2010-02-08,45.41801071166992,46.26533382876492,45.33170895053826,45.76321775619657,4724500
2010-02-09,46.86945343017578,47.41079687833104,45.810299301808726,45.99074711786048,8250900
2010-02-10,46.71253204345703,47.11265486123341,46.24179597171361,46.84590531843318,4237100
2010-02-11,47.53632354736328,47.661852586725495,46.24180289725114,46.877295342499565,4395800
2010-02-12,46.798831939697266,47.01065972175802,46.233949873274454,46.97143246555594,5178300
2010-02-16,48.06196594238281,48.08550469018299,46.99497081562143,47.40293786808584,4268700
2010-02-17,48.50131607055664,48.642536577467425,47.85797953589537,48.16395630325285,4116200
2010-02-18,49.34080505371094,49.43495108586616,48.422874506288615,48.46994602594202,4390300
2010-02-19,49.889984130859375,50.47839893968424,49.15250156352158,49.15250156352158,7371100
2010-02-22,50.188114166259766,50.58039268125546,49.576157647730156,49.88213740341874,6034100
2010-02-23,49.24665832519531,50.34503666573729,48.83868820116028,50.06259857326537,6483800
2010-02-24,49.80368423461914,49.97628775393453,49.1446561524169,49.427097186624685,3400400
2010-02-25,49.325111389160156,49.40356890656016,48.64254744844561,49.20742960233256,5043100
2010-02-26,49.55261993408203,50.11750193103851,49.450626686221014,49.4977011835832,4416000
2010-03-01,50.21165466308594,50.47055994400944,49.42709755897522,49.46632481561119,5265600
2010-03-02,50.556861877441406,51.25511722363536,50.494095872330654,50.71377090452259,4383200
2010-03-03,50.56470489501953,50.972677956713426,50.25088682995765,50.66670115329096,4289400
2010-03-04,51.4277229309082,51.62386221594493,50.8785293413878,51.066821379028184,7718700
2010-03-05,53.29496383666992,53.381265596192385,51.804304155285834,51.82783991048367,8505600
2010-03-08,52.75362014770508,53.35773249440403,52.667318383890944,53.35773249440403,5075600
2010-03-09,53.18511962890625,53.61662238652079,52.839912634258724,53.01251613158249,7655900
2010-03-10,54.92684555053711,55.29558835399954,53.37341982196461,53.4597215838684,10616500
2010-03-11,54.97391128540039,55.25635229727924,54.25212024868563,54.981758531756796,7289500
2010-03-12,54.785621643066406,55.30342619678418,54.33057710582974,55.29558493578368,5302100
2010-03-15,54.448265075683594,54.73854737790835,53.75785098240143,54.42472931990275,7709000
2010-03-16,53.91477966308594,54.38551285510865,53.585267027239766,54.32274683331968,7494400
2010-03-17,54.432579040527344,54.51888081559945,53.577414523881394,54.11091368537408,6004300
2010-03-18,55.6015510559082,55.64862255566966,54.283495191338936,54.40902118593425,7433700
2010-03-19,55.483882904052734,57.508041798503854,55.483882904052734,55.483882904052734,17722500
2010-03-22,56.41752243041992,56.990245949195746,56.103698290394654,56.22138309111633,9013600
2010-03-23,56.62932586669922,56.982374130945345,56.10367410057454,56.91176687237413,4985400
2010-03-24,56.739166259765625,57.42957431674178,56.31550472967958,56.81762076851593,7700000
2010-03-25,56.872535705566406,57.61002120684431,56.488104448508636,57.23343121014848,5431000
2010-03-26,56.95100021362305,57.264824268383165,56.76270817504537,57.005924959974855,4933700
2010-03-29,58.14350509643555,58.47301751683019,57.27264656704015,57.335412547789616,9064200
2010-03-30,57.6884880065918,58.198451366478174,57.03730411605528,57.931698814940724,4381300
2010-03-31,56.96669387817383,57.3197421935731,56.448883297512594,57.2099046738624,5884600
2010-04-01,57.264835357666016,57.672808503566586,56.7234948937131,57.46097468166129,4411000
2010-04-05,56.51950454711914,57.31190903914871,55.66433403903447,57.26483153425901,9326300
