Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2010-01-04,40.060707092285156,40.2457603251512,39.76079583420556,39.96499166557281,5839300
2010-01-05,39.7544059753418,40.0415570706578,39.68421321490834,39.9841268515946,7099000
2010-01-06,39.212013244628906,39.82460065468271,38.963149761432426,39.69059761514706,10551300
2010-01-07,39.4991569519043,39.77992552034665,38.99504759188245,39.08438293483203,7517700
2010-01-08,39.460880279541016,39.824604239135674,39.30773219614033,39.73526887140452,6107300
2010-01-11,39.76717758178711,39.837370358221264,39.46726387673441,39.57574428600713,6081300
2010-01-12,39.984130859375,39.984130859375,39.56297668876606,39.58211928563725,7199400
2010-01-13,39.93946075439453,40.38613998320598,39.92031815868457,40.11175141840206,8623000
2010-01-14,39.97775650024414,40.0288042439081,39.62041255777061,39.920326267243155,7095600
2010-01-15,39.741641998291016,40.18832119328994,39.594876429143866,39.990505460505986,9429100
2010-01-19,40.50737762451172,40.724335952687284,40.05431837379991,40.13727367303916,8551500
2010-01-20,40.20745849609375,40.58394488364789,40.04155035451984,40.51375456919327,6996800
2010-01-21,40.32870864868164,40.58395217652418,40.073462686633206,40.18194307247585,11724100
2010-01-22,40.4499397277832,41.33691546645337,40.079835846575044,40.34784185356661,15645900
2010-01-25,40.25851058959961,40.58394683589007,40.150030218032406,40.41803868633535,6382200
2010-01-26,40.71796798706055,40.83920851101327,40.04156771978254,40.04156771978254,9292700
2010-01-27,40.666908264160156,40.83919892673704,40.39251970163467,40.6286206388522,8080800
2010-01-28,40.09260559082031,40.75624067539814,40.0415554274343,40.74347813455164,8560100
2010-01-29,39.83736801147461,40.341477526890635,39.8118429244192,40.086231524749124,7589600
2010-02-01,40.76900100708008,40.820051167699816,40.092603418307945,40.092603418307945,8062700
2010-02-02,40.85834503173828,40.87111000880997,40.42442831113477,40.756247123020174,7271400
2010-02-03,41.61130905151367,41.955890331985714,41.22844258490404,41.24120269081281,13695300
2010-02-04,40.87748718261719,41.64960276100553,40.851962097164815,41.598557458513035,10868400
2010-02-05,40.43718719482422,41.05615464545198,39.96498532255998,40.883866417873094,14007600
2010-02-08,40.15003204345703,40.71157165107484,40.15003204345703,40.507375872705765,6975100
2010-02-09,40.56480026245117,40.74347093431579,40.05431088983416,40.296794254654245,10131500
2010-02-10,40.36061477661133,40.730721187250495,40.18194405931295,40.54566798193091,6161300
2010-02-11,40.70519256591797,40.737097700633264,39.90755202700692,40.360611268899014,7478900
2010-02-12,40.57757568359375,40.769008954825615,40.32232969914719,40.33509224179013,6749800
2010-02-16,40.8455810546875,40.9540590074616,40.37975680393422,40.520142327953344,7090200
2010-02-17,41.0051155090332,41.06254330405213,40.69243927565003,40.973207932858735,5424600
2010-02-18,41.14548873901367,41.234824083467075,40.8391926520226,40.90938540386615,4975800
2010-02-19,41.31139373779297,41.40711156759415,41.030627603696836,41.13272305198333,5622600
2010-02-22,41.33054733276367,41.43264767664156,41.24121196607669,41.43264767664156,4274900
2010-02-23,41.39435958862305,41.509220033251296,41.28587676373214,41.33692693210292,7485700
2010-02-24,41.643218994140625,41.82827218504608,41.33054039481164,41.451783315711104,7579700
2010-02-25,41.43085861206055,41.59817939808973,41.0318668571303,41.372942711007106,8500000
2010-02-26,41.08978271484375,41.65609767626732,41.08978271484375,41.48234016408827,8288400
2010-03-01,41.17344665527344,41.276412351262934,40.973949545276845,41.17344665527344,6320300
2010-03-02,41.231361389160156,41.45659806218775,41.12839570221959,41.45659806218775,6271700
