Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2010-01-04,129.3873291015625,130.26197051901127,126.71854179126099,127.12222946505511,9135000
2010-01-05,131.67483520507812,131.76453849414267,129.0060596939632,129.3275040843293,11659400
2010-01-06,130.2694854736328,131.1067583991629,129.89570638038109,131.1067583991629,7381100
2010-01-07,132.81866455078125,133.62602877879615,130.03774712322974,130.3143514149707,8727400
2010-01-08,130.30685424804688,132.6392319354099,130.03773286821024,131.81692484639862,7268100
2010-01-11,128.25108337402344,130.86753708232905,127.47362786256198,130.86753708232905,7704900
2010-01-12,125.4551773071289,127.44367273204416,124.86460015451416,127.09231959234396,10360100
2010-01-13,126.38967895507812,126.8382070615184,124.18437298945385,125.597257627383,11269500
2010-01-14,125.9859619140625,127.62311592921228,124.99919118311465,125.5897570454537,10521400
2010-01-15,123.50410461425781,125.44027776156233,123.03313926232772,125.290768391582,10896300
2010-01-19,124.73751068115234,125.14118692501162,122.52473429533957,123.35452401416583,7705300
2010-01-20,125.43279266357422,125.72433992227917,122.83877605279788,123.9451590593149,8893900
2010-01-21,120.25963592529297,127.8324011152281,117.19465537422953,126.55407208507135,51738300
2010-01-22,115.21365356445312,119.4224094214808,113.81572353314836,118.62999964102286,30175600
2010-01-25,115.85655975341797,118.33845830512755,115.4977350326664,116.71625847640122,17877000
2010-01-26,112.7916259765625,116.99290094165981,112.65705951996253,115.80428570807234,15985900
2010-01-27,113.25507354736328,114.32407635705171,110.84046362208205,112.69440486643573,19899000
2010-01-28,114.59318542480469,116.02102424925818,112.09634390592197,115.29589192089519,16160700
2010-01-29,111.1768798828125,115.78184210442848,110.49659903958474,115.452914601908,18502800
2010-02-01,114.47359466552734,116.05841445263268,111.54316779180742,111.99917876541477,12980800
2010-02-02,117.32179260253906,117.74042339395754,114.86231959270516,114.86231959270516,17246600
2010-02-03,117.53856658935547,119.56445422689923,117.44886326012318,118.0543835461058,16785200
2010-02-04,112.64207458496094,116.66394172548559,112.47013937687116,116.0733757115247,18895000
2010-02-05,115.24359130859375,115.46786108199028,111.28900147797748,112.7467493016376,18759200
2010-02-08,112.95603942871094,115.57249291667205,112.74672406222061,115.32579736184445,10257300
2010-02-09,113.99514770507812,114.772603170973,111.87207386557887,114.15212853054939,14017300
2010-02-10,114.84737396240234,116.13317502424935,113.44943232250476,114.20447343147885,10555300
2010-02-11,115.16130065917969,116.11070241810194,113.81569411244514,115.42293908890419,11163400
2010-02-12,115.07162475585938,115.49773839219758,112.98594246021047,113.90543582437117,10293200
2010-02-16,117.6656494140625,117.91982785677538,115.57249569877207,116.09578412759468,11497100
2010-02-17,117.56098175048828,118.25621670942806,116.47702479560517,118.11417884648169,10070000
2010-02-18,116.41727447509766,117.06017519975454,115.78185663533235,116.32757111109237,10991100
2010-02-19,116.75362396240234,117.36662710792687,115.49026029692841,115.50520324669836,8693000
2010-02-22,117.14984893798828,118.09176815063971,116.64150343739112,117.51614515060302,7375500
2010-02-23,117.14231872558594,119.76625421188064,116.55175301328532,117.22455054950912,15696000
